City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
2,Port Alfred,ZA,69.01,-33.59,26.89,clear sky,
5,Georgetown,MY,84.2,5.41,100.34,few clouds,
8,Hermanus,ZA,73.99,-34.42,19.23,scattered clouds,
10,Canico,PT,69.01,32.63,-16.85,scattered clouds,
15,Labuhan,ID,75.16,-6.88,112.21,overcast clouds,
16,Cayenne,GF,84.2,4.93,-52.33,broken clouds,
17,Mahebourg,MU,81.0,-20.41,57.7,scattered clouds,
19,Saldanha,ZA,78.8,-33.01,17.94,clear sky,
25,Airai,TL,68.07,-8.93,125.41,overcast clouds,
28,Meulaboh,ID,85.5,4.14,96.13,broken clouds,
31,Kruisfontein,ZA,67.32,-34.0,24.73,clear sky,
32,Bredasdorp,ZA,73.99,-34.53,20.04,scattered clouds,
33,Puerto Escondido,MX,84.2,15.85,-97.07,clear sky,
37,Carnarvon,AU,78.8,-24.87,113.63,clear sky,
40,Marsh Harbour,BS,67.3,26.54,-77.06,few clouds,
41,Metu,ET,72.07,8.3,35.58,overcast clouds,
45,Cape Town,ZA,71.01,-33.93,18.42,scattered clouds,
46,Port Elizabeth,ZA,73.4,-33.92,25.57,clear sky,
49,Eyl,SO,77.49,7.98,49.82,clear sky,
52,Nelson Bay,AU,73.99,-32.72,152.15,broken clouds,
53,Vaini,TO,78.8,-21.2,-175.2,few clouds,
56,Atuona,PF,82.0,-9.8,-139.03,scattered clouds,
57,Gizo,SB,76.48,-8.1,156.84,clear sky,
58,Akyab,MM,70.48,20.15,92.9,clear sky,
59,Sechura,PE,75.58,-5.56,-80.82,overcast clouds,
64,Bahia De Caraquez,EC,78.8,-0.6,-80.42,light intensity drizzle,
65,Matara,LK,76.46,5.95,80.54,few clouds,
69,Miraflores,MX,75.2,19.22,-98.81,clear sky,
72,Taoudenni,ML,84.54,22.68,-3.98,clear sky,
76,Si Bun Ruang,TH,77.77,16.97,102.28,few clouds,
80,Puerto Ayora,EC,86.0,-0.74,-90.35,few clouds,
83,Namibe,AO,75.38,-15.2,12.15,clear sky,
84,Ngaoundere,CM,89.6,7.32,13.58,overcast clouds,
86,Chuy,UY,83.43,-33.7,-53.46,clear sky,
87,Manadhoo,MV,82.47,5.77,73.38,scattered clouds,
91,Vila Velha,BR,84.2,-20.33,-40.29,scattered clouds,
99,San Andres,CO,84.2,12.58,-81.7,few clouds,
102,Saint-Philippe,RE,80.6,-21.36,55.77,scattered clouds,
105,Vao,NC,79.68,-22.67,167.48,overcast clouds,
110,Touros,BR,77.0,-5.2,-35.46,shower rain,
111,Marawi,PH,78.01,8.0,124.29,broken clouds,
112,Lebu,CL,73.99,-37.62,-73.65,clear sky,
114,Kapaa,US,69.8,22.08,-159.32,heavy intensity rain,
115,Beloha,MG,67.06,-25.17,45.05,scattered clouds,
118,Moree,AU,73.4,-29.47,149.85,scattered clouds,
121,Victoria,HK,75.0,22.29,114.16,few clouds,
122,Mogadishu,SO,81.12,2.04,45.34,overcast clouds,
126,Cabo San Lucas,MX,84.0,22.89,-109.91,clear sky,
132,Isangel,VU,78.57,-19.55,169.27,overcast clouds,
135,Salalah,OM,77.0,17.02,54.09,broken clouds,
137,Bambous Virieux,MU,80.6,-20.34,57.76,scattered clouds,
140,Juigalpa,NI,84.2,12.11,-85.36,scattered clouds,
141,Porto Novo,BJ,89.6,6.5,2.6,few clouds,
147,Bubaque,GW,81.48,11.28,-15.83,scattered clouds,
148,Sur,OM,69.35,22.57,59.53,clear sky,
150,Buchanan,LR,83.68,5.88,-10.05,few clouds,
151,Dubti,ET,88.66,11.74,41.09,clear sky,
157,Sao Joao Da Barra,BR,86.0,-21.64,-41.05,broken clouds,
158,Kantang,TH,72.79,7.41,99.52,broken clouds,
159,Bandarbeyla,SO,77.4,9.49,50.81,overcast clouds,
161,Gutierrez,CO,86.0,4.25,-74.0,haze,
163,Le Port,RE,80.6,-20.94,55.29,overcast clouds,
164,Marzuq,YE,68.16,14.4,46.47,clear sky,
168,Partanna,IT,68.0,37.73,12.89,few clouds,
171,Dingle,PH,72.41,11.0,122.67,clear sky,
173,Phonhong,LA,78.8,18.5,102.42,mist,
175,Ayorou,NE,82.18,14.73,0.92,overcast clouds,
177,Tacoronte,ES,70.0,28.48,-16.41,few clouds,
180,Diffa,NE,83.98,13.32,12.61,scattered clouds,
184,Hithadhoo,MV,83.07,-0.6,73.08,scattered clouds,
187,East London,ZA,73.4,-33.02,27.91,clear sky,
190,Bathsheba,BB,84.2,13.22,-59.52,few clouds,
192,Najran,SA,84.2,17.49,44.13,clear sky,
195,Ternate,ID,75.45,0.8,127.4,overcast clouds,
196,Rawson,AR,70.36,-43.3,-65.1,few clouds,
197,Souillac,MU,80.6,-20.52,57.52,scattered clouds,
200,Pochutla,MX,84.2,15.74,-96.47,clear sky,
203,Richards Bay,ZA,74.23,-28.78,32.04,scattered clouds,
204,Teavaro,PF,78.8,-17.5,-149.77,shower rain,
205,Ponta Do Sol,PT,69.01,32.67,-17.1,scattered clouds,
208,Luderitz,,73.4,-26.65,15.16,clear sky,
209,Alice Springs,AU,77.0,-23.7,133.88,broken clouds,
213,Saint-Leu,RE,80.6,-21.15,55.28,broken clouds,
215,Puerto Narino,CO,80.6,-3.77,-70.38,light rain,
219,Son La,VN,68.32,21.32,103.9,scattered clouds,
221,Tual,ID,82.36,-5.67,132.75,broken clouds,
223,Cidreira,BR,74.52,-30.18,-50.21,clear sky,
225,Lazaro Cardenas,MX,86.56,17.96,-102.2,clear sky,
228,San Cristobal,VE,80.6,7.77,-72.22,scattered clouds,
229,Si Satchanalai,TH,87.01,17.52,99.76,clear sky,
230,Pisco,PE,77.0,-13.7,-76.22,haze,
232,Dwarka,IN,75.51,22.24,68.97,clear sky,
234,Ankazoabo,MG,66.15,-22.28,44.52,clear sky,
238,Kahului,US,68.0,20.89,-156.47,broken clouds,
240,Honolulu,US,71.6,21.31,-157.86,few clouds,
247,Cap Malheureux,MU,80.6,-19.98,57.61,scattered clouds,
250,Palamos,ES,66.2,41.85,3.13,few clouds,
253,Veraval,IN,67.35,20.9,70.37,clear sky,
263,Biloela,AU,67.33,-24.42,150.5,clear sky,
264,Coruripe,BR,84.06,-10.13,-36.18,clear sky,
265,Soyo,AO,86.0,-6.13,12.37,few clouds,
269,Mazagao,BR,78.8,-0.12,-51.29,light rain,
274,Brasilia De Minas,BR,77.34,-16.21,-44.43,overcast clouds,
275,Tanete,ID,76.21,-3.94,119.78,overcast clouds,
278,Ararangua,BR,78.01,-28.93,-49.49,clear sky,
281,Sao Filipe,CV,74.71,14.9,-24.5,clear sky,
283,Porto Santo,PT,68.0,33.07,-16.34,scattered clouds,
285,Inhambane,MZ,74.32,-23.86,35.38,clear sky,
286,Bairiki,KI,80.6,1.33,172.98,shower rain,
291,Arraial Do Cabo,BR,73.4,-22.97,-42.03,light intensity drizzle,
295,Ancud,CL,71.6,-41.87,-73.82,clear sky,
296,Mar Del Plata,AR,80.6,-38.0,-57.56,clear sky,
299,Banda Aceh,ID,74.16,5.56,95.32,broken clouds,
300,Grand Gaube,MU,80.6,-20.01,57.66,scattered clouds,
301,Constitucion,CL,66.36,-35.33,-72.42,few clouds,
304,Geraldton,AU,78.8,-28.77,114.6,overcast clouds,
310,Diego De Almagro,CL,88.34,-26.37,-70.05,clear sky,
313,Nambucca Heads,AU,75.2,-30.65,153.0,clear sky,
314,Rio Grande,BR,86.0,-32.03,-52.1,few clouds,
315,Acari,PE,76.69,-15.43,-74.62,scattered clouds,
317,Panacan,PH,80.17,9.25,118.41,clear sky,
320,Calama,CL,75.2,-22.47,-68.93,clear sky,
323,Awjilah,LY,65.41,29.11,21.29,clear sky,
324,Martapura,ID,75.34,-3.42,114.85,overcast clouds,
325,Muisne,EC,80.6,0.6,-80.03,broken clouds,
327,Ambulu,ID,79.75,-8.35,113.61,overcast clouds,
332,Taltal,CL,68.23,-25.4,-70.48,clear sky,
334,Santa Rosa,PH,78.8,14.31,121.11,few clouds,
335,Srandakan,ID,75.4,-7.94,110.25,overcast clouds,
336,Ballina,AU,69.8,-28.87,153.57,few clouds,
337,Bandiagara,ML,87.28,14.35,-3.61,clear sky,
338,Chignahuapan,MX,78.42,19.83,-98.03,clear sky,
340,Praia,CV,82.4,14.92,-23.51,scattered clouds,
342,Kuchera,IN,70.56,26.98,73.97,few clouds,
344,Salvador,SV,87.8,13.83,-88.92,smoke,
348,Miri,MY,78.8,4.41,114.01,broken clouds,
350,Luena,AO,69.44,-11.78,19.92,overcast clouds,
354,Saint-Pierre,RE,80.6,-21.34,55.48,broken clouds,
356,Tuxtla,MX,71.6,16.75,-93.12,clear sky,
358,Haimen,CN,68.0,23.19,116.61,mist,
363,Pandan,PH,77.04,14.05,124.17,clear sky,
364,Iranshahr,IR,77.0,27.2,60.68,clear sky,
365,Ranong,TH,76.78,9.97,98.63,clear sky,
366,Morgan City,US,69.01,29.7,-91.21,clear sky,
371,Nuevitas,CU,73.4,21.55,-77.26,scattered clouds,
374,Monte Patria,CL,81.37,-30.69,-70.95,clear sky,
378,Padang,ID,69.17,-0.95,100.35,overcast clouds,
381,Singaraja,ID,82.78,-8.11,115.09,overcast clouds,
382,Mount Isa,AU,82.4,-20.73,139.5,overcast clouds,
384,Ulladulla,AU,71.6,-35.35,150.47,scattered clouds,
386,Sitamau,IN,69.37,24.02,75.35,clear sky,
388,Baruni,IN,70.36,25.48,85.98,clear sky,
390,Quilmana,PE,74.91,-12.95,-76.38,scattered clouds,
392,Huarmey,PE,82.67,-10.07,-78.15,broken clouds,
396,Porbandar,IN,76.3,21.64,69.61,clear sky,
397,Praia Da Vitoria,PT,71.6,38.73,-27.07,few clouds,
404,Ellisras,ZA,72.77,-23.66,27.74,broken clouds,
406,Matamoros,MX,71.6,25.53,-103.25,broken clouds,
407,Natal,BR,84.2,-5.79,-35.21,shower rain,
410,Agadez,NE,76.28,19.75,10.25,clear sky,
412,Grand Baie,MU,80.6,-20.02,57.58,scattered clouds,
414,Kasongo-Lunda,CD,74.91,-6.47,16.82,clear sky,
418,Chau Doc,VN,74.3,10.7,105.12,broken clouds,
419,Rocha,UY,87.57,-34.48,-54.33,clear sky,
421,Abu Zabad,SD,75.94,12.35,29.25,clear sky,
423,Melgar,CO,75.2,4.2,-74.64,broken clouds,
424,Durban,ZA,75.0,-29.86,31.03,scattered clouds,
425,Rio Gallegos,AR,73.4,-51.62,-69.22,few clouds,
428,Cubarral,CO,86.0,3.79,-73.84,haze,
433,Riyadh,SA,78.8,24.69,46.72,clear sky,
442,Concordia,AR,90.0,-31.39,-58.02,few clouds,
454,Payyannur,IN,82.4,12.1,75.2,haze,
457,Dargaville,NZ,66.51,-35.93,173.88,overcast clouds,
458,San Patricio,MX,82.4,19.22,-104.7,clear sky,
460,Rehoboth,,68.76,-23.32,17.08,overcast clouds,
462,Road Town,VG,82.4,18.42,-64.62,few clouds,
463,Ca Mau,VN,72.84,9.18,105.15,overcast clouds,
464,Leticia,CO,80.6,-4.22,-69.94,light rain,
466,Honiara,SB,78.8,-9.43,159.95,few clouds,
471,Quatre Cocos,MU,80.6,-20.21,57.76,scattered clouds,
472,Willemstad,CW,86.0,12.11,-68.93,few clouds,
477,Wattegama,LK,78.8,6.8,81.48,scattered clouds,
482,Ouallam,NE,81.55,14.32,2.09,overcast clouds,
484,Ixtapa,MX,78.01,20.7,-105.2,clear sky,
485,Port Pirie,AU,69.8,-33.18,138.02,overcast clouds,
490,Ramotswa,BW,71.6,-24.87,25.87,broken clouds,
491,Vila Do Maio,CV,82.4,15.13,-23.22,broken clouds,
494,Sarangani,PH,81.84,5.4,125.46,broken clouds,
496,Yeppoon,AU,75.2,-23.13,150.73,clear sky,
497,Henties Bay,,69.48,-22.12,14.28,clear sky,
502,Kismayo,SO,81.41,-0.36,42.55,scattered clouds,
503,Pemangkat,ID,76.6,1.17,108.97,overcast clouds,
505,Acapulco,MX,84.2,16.86,-99.89,clear sky,
509,Alindao,CF,85.41,5.03,21.21,scattered clouds,
513,Jalor,IN,72.95,25.35,72.62,clear sky,
515,Neiafu,TO,77.0,-18.65,-173.98,few clouds,
516,Jacmel,HT,80.6,18.23,-72.53,broken clouds,
517,Kavaratti,IN,83.79,10.57,72.64,scattered clouds,
518,Saint-Joseph,RE,80.6,-21.37,55.62,broken clouds,
519,Guadalajara,MX,75.99,20.67,-103.33,clear sky,
521,Caravelas,BR,82.24,-17.71,-39.25,broken clouds,
523,Marabba,SD,81.16,12.35,32.18,few clouds,
527,Vung Tau,VN,78.31,10.35,107.08,overcast clouds,
542,Broken Hill,AU,73.4,-31.95,141.43,overcast clouds,
543,Port Moresby,PG,77.0,-9.44,147.18,scattered clouds,
549,Ko Samui,TH,80.82,9.54,99.94,scattered clouds,
552,Bilma,NE,79.92,18.69,12.92,clear sky,
